name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Event	MISC	n/a	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTP 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTP 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTP 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTP 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTP 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTP 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LENT 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LENT 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LENT 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LENT 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LENT 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LENT 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 9	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAMY 10	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 9	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAH 10	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 9	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPH 10	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPLAN 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LTPO 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPCING 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPCING 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPCING 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPCING 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPCING 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	bad	n/a
LPCING 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	bad	n/a
LPCING 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPCING 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LACING 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LOFC 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LAINS 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPINS 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPINS 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPINS 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPINS 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPINS 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPINS 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 9	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
LPHG 10	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTP 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTP 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTP 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTP 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTP 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RTP 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 5	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 6	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RAH 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RINS 1	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RINS 2	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RINS 3	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RINS 4	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RINS 7	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
RINS 8	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
C127	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
C128	SEEG	µV	0	499.706055261611	StereoEEG	999.412110523222	good	n/a
